class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
74,96.12,96.6,98.06,27.67,29.61,40.29,50.97,58.25,59.71,48.54,60.19,59.71,85.44,91.26,91.75,84.47,90.29,92.72,206
75,90.2,90.2,90.2,41.18,58.82,47.06,62.75,70.59,54.9,60.78,58.82,60.78,86.27,90.2,86.27,84.31,90.2,88.24,51
76,88.89,83.33,83.33,11.11,16.67,16.67,27.78,27.78,22.22,27.78,27.78,33.33,77.78,83.33,83.33,83.33,83.33,72.22,18
77,86.23,89.13,85.51,35.51,45.65,45.65,55.07,63.04,51.45,50.72,55.07,47.1,77.54,84.06,78.26,81.16,83.33,76.09,138
78,98.48,98.48,97.97,32.49,38.07,33.5,41.62,46.19,39.59,47.72,48.22,41.62,94.42,92.39,93.4,91.37,96.45,96.45,197
79,93.2,93.2,89.32,36.89,40.78,40.78,48.54,52.43,54.37,54.37,53.4,47.57,88.35,92.23,87.38,86.41,93.2,89.32,103
80,100.0,100.0,100.0,0.0,66.67,33.33,33.33,33.33,33.33,33.33,0.0,33.33,100.0,100.0,100.0,100.0,66.67,100.0,3
81,86.11,83.33,83.33,50.0,19.44,27.78,52.78,13.89,27.78,55.56,27.78,44.44,83.33,83.33,80.56,83.33,80.56,80.56,36
82,100.0,100.0,100.0,14.29,28.57,14.29,14.29,28.57,14.29,14.29,14.29,42.86,100.0,100.0,85.71,100.0,85.71,100.0,7
83,96.15,91.03,96.15,32.05,17.95,35.9,28.21,34.62,39.74,52.56,38.46,50.0,84.62,88.46,85.9,87.18,87.18,85.9,78
84,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,4
85,0.0,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,22.22,11.11,0.0,9
86,91.57,95.51,92.13,27.53,38.76,14.61,24.16,47.19,33.15,24.16,45.51,28.09,79.78,87.64,74.16,83.71,86.52,75.84,178
87,47.47,86.08,91.77,13.92,20.89,22.15,22.78,32.91,38.61,16.46,35.44,25.32,37.97,74.68,69.62,37.34,70.89,70.89,158
88,92.86,78.57,78.57,32.14,21.43,21.43,25.0,32.14,39.29,21.43,28.57,17.86,82.14,67.86,71.43,78.57,67.86,75.0,28
89,75.0,75.0,100.0,12.5,12.5,12.5,12.5,0.0,37.5,0.0,12.5,12.5,62.5,50.0,75.0,75.0,37.5,100.0,8
90,98.22,97.57,97.9,42.23,31.55,48.54,59.87,61.0,60.84,57.44,60.19,61.0,91.26,94.5,93.69,91.42,93.69,93.69,618
