class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
50,96.14,96.14,95.41,75.36,73.43,74.15,66.18,71.01,69.08,72.22,72.71,77.29,93.48,92.75,92.75,85.02,85.51,81.16,414
51,95.06,95.47,95.88,72.43,67.9,74.07,69.14,68.72,66.67,74.07,75.72,71.19,92.59,95.06,92.18,82.3,81.89,75.72,243
52,97.11,97.52,97.31,79.13,83.47,80.17,77.27,77.07,76.24,79.13,81.4,84.71,96.07,96.49,95.66,89.05,88.43,89.46,484
53,89.92,84.03,89.92,59.66,56.72,57.56,58.4,52.94,57.14,63.87,61.76,69.33,82.77,79.41,77.31,65.55,60.08,68.49,238
54,50.0,56.25,50.0,12.5,25.0,31.25,18.75,12.5,25.0,25.0,25.0,25.0,37.5,56.25,37.5,43.75,37.5,31.25,16
55,96.97,96.97,96.97,71.0,67.1,73.59,64.07,69.7,63.2,67.53,73.16,80.95,94.81,91.34,91.77,79.22,79.22,82.25,231
56,87.5,87.5,79.17,25.0,20.83,29.17,33.33,41.67,37.5,33.33,41.67,41.67,54.17,50.0,62.5,33.33,37.5,54.17,24
57,90.82,91.84,90.82,76.53,69.9,74.49,73.98,64.29,68.37,77.04,73.98,72.45,88.78,87.76,88.27,82.65,82.65,77.55,196
58,50.0,66.67,83.33,16.67,50.0,50.0,25.0,25.0,41.67,25.0,41.67,58.33,66.67,58.33,75.0,41.67,33.33,50.0,12
59,100.0,100.0,100.0,48.15,74.07,70.37,51.85,70.37,66.67,51.85,48.15,59.26,100.0,100.0,88.89,74.07,88.89,85.19,27
60,87.3,90.48,96.83,66.67,71.43,61.9,55.56,57.14,61.9,63.49,69.84,73.02,88.89,92.06,92.06,80.95,76.19,79.37,63
61,94.64,96.43,91.07,66.07,64.29,75.0,58.93,67.86,60.71,73.21,60.71,66.07,91.07,92.86,89.29,80.36,80.36,85.71,56
62,90.91,78.79,72.73,66.67,63.64,72.73,57.58,54.55,51.52,69.7,60.61,60.61,75.76,81.82,78.79,60.61,78.79,72.73,33
63,93.33,94.22,95.11,64.89,67.11,72.89,80.89,81.33,81.33,84.89,88.44,87.11,85.33,89.78,85.33,77.78,79.11,76.44,225
64,72.73,63.64,36.36,18.18,27.27,9.09,27.27,36.36,18.18,27.27,18.18,0.0,63.64,36.36,27.27,27.27,45.45,27.27,11
65,88.89,100.0,88.89,44.44,44.44,11.11,44.44,33.33,11.11,33.33,44.44,33.33,77.78,100.0,77.78,44.44,88.89,33.33,9
66,83.85,86.15,83.85,63.85,68.46,69.23,69.23,75.38,66.92,69.23,76.92,67.69,80.0,83.08,77.69,70.77,70.0,66.15,130
67,99.44,99.44,100.0,90.0,82.78,86.67,90.56,86.67,84.44,92.78,86.11,92.78,99.44,98.89,98.89,92.78,93.33,93.89,180
68,94.44,94.44,88.89,66.67,66.67,77.78,61.11,55.56,75.0,63.89,75.0,83.33,94.44,86.11,91.67,88.89,80.56,86.11,36
69,72.73,90.91,72.73,54.55,63.64,63.64,63.64,63.64,54.55,63.64,72.73,63.64,72.73,90.91,72.73,72.73,72.73,81.82,11
70,100.0,98.28,98.28,84.48,87.93,91.38,89.66,84.48,86.21,91.38,89.66,96.55,100.0,94.83,98.28,93.1,93.1,96.55,58
71,95.83,95.83,95.83,79.17,70.83,75.0,50.0,87.5,75.0,70.83,83.33,87.5,95.83,95.83,95.83,87.5,91.67,95.83,24
72,96.51,95.35,97.67,76.74,80.23,81.4,86.05,81.4,84.88,84.88,87.21,91.86,94.19,94.19,97.67,94.19,93.02,89.53,86
73,97.96,93.88,95.92,89.8,89.8,87.76,95.92,85.71,89.8,93.88,97.96,89.8,93.88,93.88,95.92,93.88,89.8,93.88,49
74,95.15,95.63,96.12,77.67,76.7,79.13,83.5,80.58,79.13,85.44,83.5,82.52,92.23,92.72,92.23,85.44,87.38,81.55,206
75,96.08,90.2,94.12,82.35,76.47,86.27,80.39,86.27,84.31,80.39,80.39,90.2,96.08,88.24,94.12,90.2,80.39,90.2,51
76,77.78,88.89,88.89,44.44,44.44,72.22,44.44,72.22,50.0,77.78,55.56,72.22,77.78,83.33,83.33,66.67,72.22,66.67,18
77,89.13,87.68,84.06,70.29,68.84,68.84,78.99,73.19,72.46,80.43,74.64,75.36,84.06,81.88,82.61,81.88,78.99,76.09,138
