Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
7,101,102,91.67,96
7,101,81,85.71,21
7,101,88,96.88,64
7,101,24,100.0,16
7,101,9,97.3,37
7,101,70,96.06,127
7,101,66,86.67,15
7,101,46,95.24,42
7,101,78,96.43,28
7,101,2,89.19,37
7,101,73,75.0,16
7,101,30,76.92,13
7,101,103,95.59,68
7,101,39,89.29,56
7,101,0,97.56,164
7,101,106,91.67,48
7,101,75,98.41,126
7,101,68,98.41,63
7,101,100,100.0,32
7,101,104,91.67,24
7,101,16,57.14,7
7,101,76,98.59,71
7,101,92,96.3,27
7,101,98,0.0,6
7,101,40,91.67,36
7,101,85,92.31,13
7,101,5,71.43,7
7,101,20,96.77,31
7,101,6,91.11,45
7,101,89,95.65,23
7,101,101,74.19,31
7,101,79,66.67,6
7,101,17,100.0,15
7,101,11,0.0,4
7,101,87,50.0,6
7,101,35,66.67,6
7,101,105,90.0,10
7,101,99,85.37,41
7,101,32,86.21,29
7,101,61,100.0,11
7,101,84,78.57,14
7,101,12,0.0,3
7,101,62,100.0,9
7,101,3,57.14,7
7,101,4,100.0,8
7,101,95,0.0,2
7,101,91,100.0,8
7,101,23,94.44,18
7,101,41,85.71,7
7,101,94,89.47,19
7,101,82,50.0,6
7,101,8,33.33,6
7,101,96,50.0,6
7,101,77,75.0,4
