class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4
85,44.44,44.44,0.0,0.0,0.0,0.0,22.22,22.22,0.0,44.44,44.44,0.0,33.33,44.44,0.0,44.44,44.44,0.0,9
86,89.89,84.27,91.01,25.84,9.55,28.09,70.22,24.72,40.45,89.33,79.78,87.64,55.06,41.57,61.24,90.45,84.27,91.57,178
87,84.18,55.7,41.77,6.96,6.33,1.9,9.49,22.15,2.53,75.32,48.1,25.32,46.2,30.38,18.99,84.81,55.06,41.77,158
88,75.0,82.14,67.86,17.86,57.14,14.29,46.43,85.71,64.29,57.14,60.71,53.57,46.43,25.0,46.43,75.0,78.57,67.86,28
89,37.5,87.5,25.0,25.0,62.5,12.5,0.0,75.0,12.5,12.5,75.0,12.5,12.5,25.0,0.0,25.0,87.5,25.0,8
90,96.93,96.12,97.09,60.36,63.27,73.14,90.13,83.98,91.91,96.44,93.85,96.28,91.1,78.48,82.85,96.93,96.6,97.25,618
91,84.75,86.44,89.83,40.68,35.59,35.59,66.1,84.75,84.75,81.36,83.05,86.44,71.19,54.24,62.71,84.75,86.44,91.53,59
92,66.67,91.67,66.67,0.0,41.67,0.0,8.33,8.33,33.33,50.0,50.0,58.33,50.0,33.33,33.33,66.67,91.67,66.67,12
93,81.03,39.66,72.41,13.79,0.0,8.62,63.79,15.52,36.21,74.14,27.59,50.0,65.52,10.34,31.03,81.03,37.93,72.41,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
96,0.0,0.0,71.43,0.0,0.0,57.14,0.0,0.0,71.43,0.0,0.0,71.43,0.0,0.0,71.43,0.0,0.0,71.43,7
97,71.43,87.3,90.48,66.67,57.14,33.33,68.25,84.13,88.89,76.19,82.54,84.13,68.25,49.21,42.86,74.6,88.89,90.48,63
98,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,66.67,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3
99,84.21,84.21,84.21,0.0,26.32,5.26,0.0,78.95,68.42,68.42,84.21,73.68,36.84,68.42,52.63,84.21,84.21,84.21,19
100,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.33,0.0,0.0,50.0,0.0,0.0,6
101,100.0,100.0,20.0,20.0,100.0,0.0,0.0,40.0,0.0,100.0,100.0,20.0,80.0,100.0,0.0,100.0,100.0,20.0,5
102,96.0,88.0,92.0,16.0,16.0,24.0,88.0,76.0,64.0,88.0,72.0,88.0,60.0,28.0,36.0,96.0,88.0,92.0,25
